"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
San Maleo (Patroual),Setiembre,21,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
San Pablo (patroual),Julio,7-8,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
San Pedro (Patronal),Junio,27-28,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Santa Cruz (Patronal),Setiembre,14,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Semana Santa (Tradicional),Marzo / Abril,*,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Señor de Agonias de Mayo (Patronal),Mayo,2-6,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Señor de Burgos (patronal),Setiembre,10.15,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Seiior de Chaucayan (Patronal),Mayo,3,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Señor de Mayo (Tradicional),Mayo,3,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Todos los Santos (Tradicional),Noviembre,1,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
Virgen del Pilar (Patronal),Octubre,10-15,Ancash ,Recuay,-,-9.72222222,-77.45583333,,,
San Pedro (Patronal),Junio,29,Ancash ,Santa,-,-8.99217,-78.60923,,,
Santo Toribio de Magrovejo (Patronal),Agosto,20,Ancash ,Santa,-,-8.99217,-78.60923,,,
Virgen Maria de Guadalupe (Patronal),Setiembre,8,Ancash ,Santa,-,-8.99217,-78.60923,,,
San Francisco de Asis (Patronal),Octubre,3-4,Ancash,Sihuas,-,-8.55778,-77.62583,,,
San Juan (Parronru),Junio,23-24,Ancash,Sihuas,-,-8.55778,-77.62583,,,
San Pedro (Parronru),Junio,29-30,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Santa Cruz (patronal),Setiembre,22-23,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Virgen de la Natividad (Patronal),Setiembre,6-10,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Virgen de las Nieves (patronal),Agosto,2-16,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Virgen de Pillatan (Patronal),Setiembre,12-16,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Virgen del Rosario (Parronal),Octubre,6-8,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Virgen Purisima (Patronal),Setiembre,8,Ancash,Sihuas,-,-8.55778,-77.62583,,,
Corpus Christi (Tradicional),Agosto,4,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
San Cristobal (Patronal),Julio,24-26,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
San Juan Bautista (Patronal),Junio,23-25,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
San Roque (Patronal),Agosto,13-17,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
Santa Rosa de Lima (Patronal),Agosto,28-30,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
Santo Domingo (Patronal),Agosto,5-7,Ancash,Yungay,Yungay,-9.13888889,-77.74444444,,,
Señor de los Milagros (Tradicional),Octubre,17-20,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
Virgen de la Asuncion (Patronal),Setiembre,2,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
